Adenilso Simao, PQ-2
Adilson Elias Xavier, PQ-2
Adriana Santarosa Vivacqua, PQ-2
Adriano Veloso, PQ-2
Adriano Oliveira, PQ-2
Afonso Paiva Neto, PQ-2
Agma Traina, PQ-1B
Ajalmar Rêgo da Rocha Neto, PQ-2
Alba Melo, PQ-1D
Alberto Schaeffer Filho, PQ-2
Alberto Ferreira De Souza, PQ-2
Alberto Laender, PQ-1A
Alceu de Souza Britto Jr, PQ-1D
Aldri dos Santos, PQ-2
Alejandro Frery, PQ-1B
Alessandra Paulino, PQ-2
Alessandro Garcia, PQ-1C
Alex Vieira, PQ-2
Alexandre Plastino, PQ-2
Alexandre Salles da Cunha, PQ-2
Alexandre Falcao, PQ-1B
Alfredo Goldman, PQ-2
Aline Villavicencio, PQ-2
Alneu de Andrade Lopes, PQ-2
Altigran Silva, PQ-1C
Aluizio Araujo, PQ-1C
Ana Carolina Lorena, PQ-2
Ana Cristina Bicharra Garcia, PQ-2
Ana Lucia Cetertich Bazzan, PQ-1C
Ana Paula Couto da Silva, PQ-2
Ana Shirley Ferreira da Silva, PQ-2
Anderson Almeida Ferreira, PQ-2
Anderson Rocha, PQ-2
Anderson Maciel, PQ-2
Andre Ponce de Leon Carvalho, PQ-1A
Andre Fujita, PQ-2
Andre Coelho, PQ-2
Andre Luiz Lins de Aquino, PQ-2
Andre Backes, PQ-2
Andre Santanche, PQ-2
Andreia Malucelli, PQ-2
Anelise Munaretto, PQ-2
Angelo Brayner, PQ-2
Anisio Lacerda, PQ-2
Anna Costa, PQ-2
Anne Canuto, PQ-2
Antonio Alfredo Ferreira Loureiro, PQ-1A
Antonio Augusto Medeiros Fröhlich, PQ-2
Antonio de Padua Braga, PQ-1C
Antônio Tadeu Azevedo Gomes, PQ-2
Aristófanes Corrêa Silva, PQ-2
Artur Ziviani, PQ-1D
Augusto Sampaio, PQ-1A
Augusto José Venâncio Neto, PQ-2
Benjamin Bedregal, PQ-1C
Bruno Feijo, PQ-1D
Bruno Luiggi Macchiavello Espinoza, PQ-2
Bruno Carvalho, PQ-2
Bruno Schulze, PQ-1D
Caetano Traina, PQ-1B
Carla Freitas, PQ-1C
Carlile Campos Lavor, PQ-1C
Carlos Alberto de Jesus Martinhon, PQ-2
Carlos Kamienski, PQ-2
Carlos Olarte, PQ-2
Carlos Alexandre Barros de Mello, PQ-2
Carlos Becker Westphall, PQ-1D
Carlos Ferreira, PQ-1D
Carlos Eduardo Pereira, PQ-1B
Carlos Henrique Costa Ribeiro, PQ-2
Carlos Humberto Llanos Quintero, PQ-2
Carlos Lucena, PQ-1A
Cecilia Rubira, PQ-2
Celia Zorzo Barcelos, PQ-2
Célia Ghedini Ralha, PQ-2
Celina de Figueiredo, PQ-1A
Célio Vinicius Neves de Albuquerque, PQ-1D
Celso Ribeiro, PQ-1A
Celso Massaki Hirata, PQ-2
Cesar Augusto Fonticielha De Rose, PQ-2
Christian Rothenberg, PQ-2
Christiane von Wangenheim, PQ-2
Cid Carvalho de Souza, PQ-1C
Clarisse de Souza, PQ-1B
Claudia Linhares Sales, PQ-1D
Claudia Bauzer Medeiros, PQ-1A
Claudia Werner, PQ-1D
Cláudio Leonardo Lucchesi, PQ-1A
Claudio Sant’Anna, PQ-2
Cláudio Rosito Jung, PQ-1C
Cleonice Fátima Bracciali, PQ-2
Clodoveu Davis, PQ-2
Cristiana Bentes, PQ-2
Cristiano Maciel, PQ-2
Cristina Fernandes, PQ-1D
Daniel de Oliveira, PQ-2
Daniel Carlos Guimarães Pedronette, PQ-2
Daniel Fernandes Macedo, PQ-2
Daniel Guidoni, PQ-2
Daniel Batista, PQ-2
Daniel Morgato Martin, PQ-2
Daniel Figueiredo, PQ-2
Daniel Menasche, PQ-2
Daniel Schwabe, PQ-1D
Danielo Gomes, PQ-2
David Martins, PQ-2
David Menotti, PQ-2
Denis Maua, PQ-2
Denis Fernando Wolf, PQ-2
Diana Sasaki Nobrega, PQ-2
Diego Gimenez Passos, PQ-2
Divanilson Campelo, PQ-2
Djamel Sadok, PQ-1C
Dorgival Guedes, PQ-2
Edison Pignaton de Freitas, PQ-2
Edleno de Moura, PQ-1C
Edmundo de Souza e Silva, PQ-1A
Edmundo Madeira, PQ-1D
Edson Borin, PQ-2
Edson Prestes e Silva, PQ-2
Eduardo Alves do Valle Junior, PQ-2
Eduardo Antonio Guimaraes Tavares, PQ-2
Eduardo Camponogara, PQ-1D
Eduardo Candido Xavier, PQ-2
Eduardo Cerqueira, PQ-1D
Eduardo Nakamura, PQ-2
Eduardo Figueiredo, PQ-2
Eduardo Sany Laber, PQ-1C
Eduardo Ogasawara, PQ-2
Edward Hermann Haeusler, PQ-2
Elaine Pimentel, PQ-2
Elias Duarte, PQ-1D
Emerson Luiz do Monte Carmelo, PQ-2
Ernesto Birgin, PQ-1B
Esteban Clua, PQ-2
Estevam Hruschka, PQ-1D
Fabian Luis Vargas, PQ-1D
Fabiano Ferrari, PQ-2
Fabiano Passuelo Hessel, PQ-2
Fabio Porto, PQ-2
Fabio Cozman, PQ-1C
Fabio Kon, PQ-1D
Fabio Protti, PQ-1B
Fabricio Benevenuto, PQ-2
Fabricio Enembreck, PQ-2
Fabricio Siqueira Benevides, PQ-2
Fátima de Lourdes dos Santos Nunes Marques, PQ-2
Fátima Nelsizeuma Sombra de Medeiros, PQ-2
Felipe Franca, PQ-2
Felipe Meneguzzi, PQ-2
Fernando Castor, PQ-2
Flavia Delicato, PQ-1D
Flavia Santoro, PQ-2
Flavio Keidi Miyazawa, PQ-1B
Flavio Rech Wagner, PQ-1B
